Date,Close,Open,High,Low,Volume,Chg%,daily_return_pct,market_direction,ma_7,month
1996-01-30,846.57,836.14,848.13,836.14,0.0,0.0189,1.8883593298671286,Up,833.18,1
1996-01-31,848.42,843.19,852.75,843.19,0.0,0.0022,0.2185288871563884,Up,833.8128571428571,1
1996-02-01,869.54,848.28,869.54,848.28,0.0,0.0249,2.4893331133165164,Up,837.4171428571428,2
1996-02-02,918.31,878.5,919.82,878.5,0.0,0.0561,5.608712652666936,Up,849.6185714285714,2
1996-02-05,943.08,933.14,949.16,927.65,0.0,0.027,2.6973462120634784,Up,867.3885714285715,2
1996-02-06,925.71,943.75,947.89,919.99,0.0,-0.0184,-1.8418373838910762,Down,883.2157142857143,2
1996-02-07,932.02,918.97,932.02,913.22,0.0,0.0068,0.6816389582050553,Up,897.6642857142857,2
1996-02-08,980.27,936.72,983.25,936.72,0.0,0.0518,5.1769275337439025,Up,916.7642857142857,2
1996-02-09,1033.02,1001.85,1033.02,980.27,0.0,0.0538,5.381170493843523,Up,943.1357142857144,2
1996-02-12,1018.51,1032.47,1045.81,1018.51,0.0,-0.014,-1.4046194652572064,Down,964.4171428571428,2
1996-02-13,1027.36,1019.69,1030.3,1006.28,0.0,0.0087,0.8689163582095372,Up,979.9957142857141,2
1996-02-14,1051.99,1040.91,1067.49,1040.91,0.0,0.024,2.39740694595858,Up,995.5542857142857,2
1996-02-15,1046.24,1048.14,1053.19,1042.36,0.0,-0.0055,-0.5465831424253054,Down,1012.7728571428571,2
1996-02-16,1023.08,1040.84,1040.84,1020.46,0.0,-0.0221,-2.213641229545804,Down,1025.7814285714287,2
1996-02-19,1021.38,1027.2,1028.26,1019.93,0.0,-0.0017,-0.16616491378973475,Down,1031.6542857142856,2
1996-02-20,1000.13,1021.08,1021.08,999.93,0.0,-0.0208,-2.0805185141671068,Down,1026.9557142857143,2
1996-02-22,1024.91,1006.84,1025.44,1006.84,0.0,0.0248,2.4776779018727657,Up,1027.8700000000001,2
1996-02-23,1028.84,1025.36,1029.64,1019.45,0.0,0.0038,0.3834483027777891,Up,1028.0814285714284,2
1996-02-26,1034.73,1035.02,1045.15,1034.52,0.0,0.0057,0.5724894055441077,Up,1025.6157142857141,2
1996-02-27,1027.45,1034.28,1034.28,1024.65,0.0,-0.007,-0.7035651812550059,Down,1022.9314285714287,2
1996-02-28,1027.39,1034.49,1037.53,1027.39,0.0,-0.0001,-0.005839700228715827,Down,1023.5471428571428,2
1996-02-29,992.51,1024.14,1024.14,992.48,0.0,-0.034,-3.395010658075326,Down,1019.4228571428572,2
1996-03-01,999.47,994.66,1002.19,989.78,0.0,0.007,0.7012523803286763,Up,1019.3285714285714,3
1996-03-04,998.84,1000.58,1002.41,996.51,0.0,-0.0006,-0.06303340770608123,Down,1015.6042857142858,3
1996-03-06,1002.91,999.67,1003.72,997.86,0.0,0.0041,0.4074726682952168,Up,1011.9,3
1996-03-07,998.45,1005.06,1010.5,998.45,0.0,-0.0044,-0.444705905814069,Down,1006.7171428571429,3
1996-03-08,988.62,993.93,993.93,981.6,0.0,-0.0098,-0.9845260153237612,Down,1001.17,3
1996-03-11,975.26,981.16,981.16,966.28,0.0,-0.0135,-1.35137868948636,Down,993.7228571428572,3
1996-03-12,976.22,974.71,976.46,969.15,0.0,0.001,0.0984352890511353,Up,991.3957142857143,3
1996-03-13,992.14,973.75,992.54,972.77,0.0,0.0163,1.6307799471430684,Up,990.3485714285714,3
1996-03-14,991.14,993.72,1002.68,990.41,0.0,-0.001,-0.10079222690345668,Down,989.2485714285714,3
1996-03-15,981.87,989.55,989.98,981.67,0.0,-0.0094,-0.9352866396270976,Down,986.2428571428571,3
1996-03-18,962.09,977.71,977.71,961.37,0.0,-0.0201,-2.014523307566174,Down,981.0485714285714,3
1996-03-19,947.09,961.12,964.08,945.07,0.0,-0.0156,-1.5591056969722183,Down,975.1157142857144,3
1996-03-21,965.57,957.88,967.75,957.88,0.0,0.0195,1.9512401144558655,Up,973.7314285714285,3
1996-03-22,956.11,962.34,962.34,950.07,0.0,-0.0098,-0.9797321789202229,Down,970.8585714285715,3
1996-03-25,953.98,956.89,957.19,952.25,0.0,-0.0022,-0.22277771386137735,Down,965.407142857143,3
1996-03-26,957.14,952.87,958.58,949.28,0.0,0.0033,0.33124384158995657,Up,960.5500000000001,3
1996-03-27,974.17,965.84,975.6,965.84,0.0,0.0178,1.7792590425643073,Up,959.4499999999999,3
1996-03-28,997.32,976.91,997.32,976.91,0.0,0.0238,2.376381945656303,Up,964.4828571428571,3
1996-03-29,985.3,998.16,998.16,985.3,0.0,-0.0121,-1.205230016444081,Down,969.9414285714286,3
1996-04-01,994.8,988.33,995.01,988.33,0.0,0.0096,0.9641733482188108,Up,974.1171428571428,4
1996-04-02,1003.28,996.07,1005.68,996.07,0.0,0.0085,0.8524326497788559,Up,980.8557142857143,4
1996-04-03,1013.47,1013.41,1019.09,1012.79,0.0,0.0102,1.0156686069691556,Up,989.3542857142857,4
1996-04-04,1010.94,1012.29,1012.29,1000.9,0.0,-0.0025,-0.24963738443170014,Down,997.04,4
1996-04-08,1032.13,1024.4,1034.72,1024.4,0.0,0.021,2.096069005084389,Up,1005.32,4
1996-04-09,1029.07,1035.61,1041.05,1028.78,0.0,-0.003,-0.2964742813405419,Down,1009.8557142857143,4
1996-04-10,1029.28,1030.57,1035.79,1027.07,0.0,0.0002,0.02040677504933086,Up,1016.1385714285714,4
1996-04-11,1025.18,1024.37,1026.52,1022.31,0.0,-0.004,-0.39833670138348376,Down,1020.4785714285715,4
1996-04-12,1032.19,1023.84,1033.17,1023.84,0.0,0.0068,0.6837823601709037,Up,1024.6085714285714,4
1996-04-15,1046.45,1038.03,1050.48,1038.03,0.0,0.0138,1.3815285945417033,Up,1029.3200000000002,4
1996-04-16,1058.71,1046.8,1060.85,1046.8,0.0,0.0117,1.1715801041616958,Up,1036.1442857142858,4
1996-04-17,1096.28,1067.93,1096.28,1067.93,0.0,0.0355,3.548658272803684,Up,1045.3085714285714,4
1996-04-18,1121.68,1107.76,1124.93,1107.76,0.0,0.0232,2.31692633268874,Up,1058.5385714285715,4
1996-04-19,1131.74,1124.3,1142.26,1124.3,0.0,0.009,0.8968689822409281,Up,1073.1757142857143,4
1996-04-22,1106.93,1136.28,1136.28,1102.83,0.0,-0.0219,-2.192199621821267,Down,1084.8542857142859,4
1996-04-23,1095.82,1090.04,1100.51,1090.04,0.0,-0.01,-1.0036768359336312,Down,1093.9442857142856,4
1996-04-24,1145.11,1136.97,1145.11,1126.77,0.0,0.045,4.49800149659616,Up,1108.0385714285715,4
1996-04-25,1120.82,1157.94,1160.16,1110.61,0.0,-0.0212,-2.1211935971216733,Down,1116.9114285714286,4
1996-04-26,1123.63,1133.17,1133.17,1106.29,0.0,0.0025,0.2507093021181017,Up,1120.8185714285714,4
1996-04-29,1118.37,1112.7,1118.69,1107.51,0.0,-0.0047,-0.4681256285432256,Down,1120.3457142857144,4
1996-04-30,1114.36,1118.1,1118.23,1112.44,0.0,-0.0036,-0.3585575435678723,Down,1117.8628571428571,4
1996-05-01,1137.86,1141.65,1141.65,1133.92,0.0,0.0211,2.108833770056351,Up,1122.2814285714285,5
1996-05-02,1132.05,1131.96,1132.05,1123.15,0.0,-0.0051,-0.5106076318703523,Down,1127.4571428571428,5
1996-05-03,1119.48,1126.08,1127.99,1119.34,0.0,-0.0111,-1.1103749834371235,Down,1123.7957142857142,5
1996-05-06,1088.22,1108.0,1108.0,1087.86,0.0,-0.0279,-2.7923678850895084,Down,1119.1385714285714,5
1996-05-07,1093.09,1086.66,1094.97,1086.66,0.0,0.0045,0.44751980298101124,Up,1114.7757142857142,5
1996-05-08,1108.53,1082.78,1113.62,1075.94,0.0,0.0141,1.4125094914416936,Up,1113.37,5
1996-05-09,1090.53,1101.41,1107.41,1089.87,0.0,-0.0162,-1.6237720224080543,Down,1109.9657142857143,5
1996-05-10,1078.63,1076.97,1080.91,1063.75,0.0,-0.0109,-1.091212529687391,Down,1101.5042857142857,5
1996-05-13,1088.1,1081.68,1090.16,1080.68,0.0,0.0088,0.8779655674327369,Up,1095.2257142857143,5
1996-05-14,1105.47,1087.94,1107.44,1085.85,0.0,0.016,1.5963606286186982,Up,1093.2242857142858,5
1996-05-15,1115.97,1107.0,1117.41,1095.67,0.0,0.0095,0.9498222475508245,Up,1097.1885714285713,5
1996-05-16,1128.59,1128.45,1141.64,1126.29,0.0,0.0113,1.1308547720816797,Up,1102.26,5
1996-05-17,1115.54,1122.42,1122.42,1113.59,0.0,-0.0116,-1.1563100860365605,Down,1103.2614285714285,5
1996-05-20,1083.67,1094.6,1094.6,1083.56,0.0,-0.0286,-2.8569123473833224,Down,1102.2814285714285,5
1996-05-21,1074.86,1077.18,1082.52,1074.19,0.0,-0.0081,-0.8129781206456022,Down,1101.7428571428572,5
1996-05-22,1081.13,1082.25,1086.07,1079.61,0.0,0.0058,0.5833317827438123,Up,1100.7471428571428,5
1996-05-23,1076.71,1079.89,1079.89,1073.76,0.0,-0.0041,-0.4088315003746179,Down,1096.6385714285714,5
1996-05-24,1085.03,1079.77,1087.77,1077.87,0.0,0.0077,0.7727243175971177,Up,1092.2185714285715,5
1996-05-27,1065.29,1080.55,1080.55,1065.29,0.0,-0.0182,-1.819304535358468,Down,1083.1757142857143,5
1996-05-28,1063.36,1054.62,1065.61,1046.95,0.0,-0.0018,-0.18117132424035898,Down,1075.7214285714285,5
1996-05-29,1096.76,1074.23,1100.59,1074.23,0.0,0.0314,3.140987059885658,Up,1077.5914285714287,5
1996-05-30,1082.84,1095.86,1095.86,1082.58,0.0,-0.0127,-1.2691928954374765,Down,1078.7314285714288,5
1996-05-31,1089.92,1086.46,1089.92,1083.73,0.0,0.0065,0.6538362084888005,Up,1079.9871428571428,5
1996-06-03,1108.87,1098.18,1109.99,1098.18,0.0,0.0174,1.7386597181444419,Up,1084.5814285714284,6
1996-06-04,1105.64,1114.55,1118.13,1104.32,0.0,-0.0029,-0.29128752694181914,Down,1087.5257142857142,6
1996-06-05,1113.14,1108.78,1115.06,1104.45,0.0,0.0068,0.6783401468832606,Up,1094.3614285714286,6
1996-06-06,1129.82,1129.17,1132.62,1127.52,0.0,0.015,1.4984638050918875,Up,1103.8557142857142,6
1996-06-07,1133.44,1126.39,1134.86,1126.39,0.0,0.0032,0.3204050202687325,Up,1109.0957142857144,6
1996-06-10,1141.35,1136.86,1144.15,1136.86,0.0,0.007,0.6978754940711429,Up,1117.4542857142856,6
1996-06-11,1143.06,1137.74,1145.68,1136.77,0.0,0.0015,0.14982257852542702,Up,1125.0457142857144,6
1996-06-12,1163.87,1164.83,1171.01,1163.58,0.0,0.0182,1.8205518520462594,Up,1132.9028571428573,6
1996-06-13,1168.4,1166.37,1172.34,1164.66,0.0,0.0039,0.38921872717745387,Up,1141.8685714285714,6
1996-06-14,1196.06,1169.26,1198.35,1169.26,0.0,0.0237,2.36733995207119,Up,1153.7142857142858,6
1996-06-17,1185.37,1202.58,1203.11,1184.36,0.0,-0.0089,-0.8937678711770314,Down,1161.65,6
1996-06-18,1181.95,1176.48,1184.18,1173.66,0.0,-0.0029,-0.2885175093008785,Down,1168.58,6
1996-06-19,1168.03,1180.78,1190.03,1163.46,0.0,-0.0118,-1.177714793349982,Down,1172.3914285714286,6
1996-06-20,1169.48,1163.68,1170.54,1150.4,0.0,0.0012,0.12414064707242378,Up,1176.1657142857143,6
1996-06-21,1157.42,1168.72,1170.01,1155.56,0.0,-0.0103,-1.0312275541266125,Down,1175.2442857142855,6
1996-06-24,1146.78,1157.92,1159.92,1138.88,0.0,-0.0092,-0.919285998168351,Down,1172.1557142857143,6
1996-06-25,1127.78,1147.28,1154.22,1123.79,0.0,-0.0166,-1.6568129894138361,Down,1162.4014285714286,6
1996-06-26,1119.85,1127.43,1134.43,1116.96,0.0,-0.007,-0.7031513238397569,Down,1153.0414285714285,6
1996-06-27,1127.0,1119.0,1130.0,1107.0,0.0,0.0064,0.6384783676385286,Up,1145.1914285714286,6
1996-06-28,1122.0,1128.0,1136.0,1119.0,0.0,-0.0044,-0.4436557231588312,Down,1138.6157142857144,6
1996-07-01,1109.0,1121.0,1121.0,1105.0,0.0,-0.0116,-1.158645276292336,Down,1129.9757142857143,7
1996-07-02,1100.0,1109.0,1111.0,1098.0,0.0,-0.0081,-0.8115419296663706,Down,1121.7728571428572,7
1996-07-03,1080.0,1100.0,1100.0,1076.0,0.0,-0.0182,-1.8181818181818188,Down,1112.2328571428573,7
1996-07-04,1088.0,1080.0,1099.0,1056.0,0.0,0.0074,0.7407407407407307,Up,1106.55,7
1996-07-05,1093.0,1089.0,1104.0,1088.0,0.0,0.0046,0.4595588235294157,Up,1102.7142857142858,7
1996-07-08,1103.47,1095.08,1106.36,1095.08,0.0,0.0096,0.957913998170179,Up,1099.3528571428571,7
1996-07-09,1088.76,1104.01,1104.13,1082.41,0.0,-0.0133,-1.3330675052334984,Down,1094.6042857142857,7
1996-07-10,1086.62,1083.49,1093.27,1072.48,0.0,-0.002,-0.19655387780594946,Down,1091.4071428571428,7
1996-07-11,1097.44,1089.45,1103.19,1089.45,0.0,0.01,0.9957482836686404,Up,1091.0414285714285,7
1996-07-12,1089.35,1096.85,1099.2,1086.07,0.0,-0.0074,-0.7371701414200404,Down,1092.3771428571429,7
1996-07-15,1093.38,1089.0,1098.35,1081.22,0.0,0.0037,0.36994538027266266,Up,1093.1457142857141,7
1996-07-16,1083.47,1100.14,1105.94,1076.92,0.0,-0.0091,-0.906363752766659,Down,1091.7842857142857,7
1996-07-17,1108.58,1087.07,1117.95,1087.07,0.0,0.0232,2.3175537855224304,Up,1092.5142857142857,7
1996-07-18,1118.68,1109.17,1126.14,1109.17,0.0,0.0091,0.9110754298291557,Up,1096.7885714285715,7
1996-07-19,1119.27,1118.92,1126.71,1112.35,0.0,0.0005,0.05274073014622793,Up,1101.452857142857,7
1996-07-22,1121.37,1125.81,1127.13,1115.06,0.0,0.0019,0.18762228952797777,Up,1104.8714285714284,7
1996-07-23,1092.14,1125.15,1127.08,1086.28,0.0,-0.0261,-2.6066329578996905,Down,1105.27,7
1996-07-24,1069.43,1090.74,1090.74,1049.88,0.0,-0.0208,-2.0794037394473275,Down,1101.8485714285714,7
1996-07-25,1062.68,1069.27,1075.79,1060.6,0.0,-0.0063,-0.631177356161694,Down,1098.8785714285714,7
1996-07-26,1051.24,1062.04,1066.12,1046.46,0.0,-0.0108,-1.076523506605942,Down,1090.6871428571428,7
1996-07-29,1033.97,1054.51,1057.84,1030.87,0.0,-0.0164,-1.6428218104333925,Down,1078.5857142857144,7
1996-07-30,1014.91,1031.01,1031.01,999.03,0.0,-0.0184,-1.8433803688695072,Down,1063.677142857143,7
1996-07-31,1042.81,1017.06,1047.04,1004.76,0.0,0.0275,2.7490122276852214,Up,1052.4542857142858,7
1996-08-01,1036.63,1047.47,1054.08,1035.3,0.0,-0.0059,-0.5926295298280482,Down,1044.5242857142857,8
1996-08-02,1032.94,1036.34,1036.48,1024.8,0.0,-0.0036,-0.3559611433201826,Down,1039.3114285714287,8
1996-08-05,1032.29,1035.73,1038.2,1030.34,0.0,-0.0006,-0.0629271787325636,Down,1034.9699999999998,8
1996-08-06,1035.51,1031.8,1038.04,1023.73,0.0,0.0031,0.31192784973215204,Up,1032.722857142857,8
1996-08-07,1048.59,1036.59,1050.54,1033.52,0.0,0.0126,1.2631456963235532,Up,1034.8114285714287,8
1996-08-08,1039.24,1050.43,1054.29,1037.94,0.0,-0.0089,-0.8916735807131371,Down,1038.2871428571427,8
1996-08-09,1037.91,1038.76,1042.25,1033.46,0.0,-0.0013,-0.12797813786997736,Down,1037.587142857143,8
1996-08-12,1032.17,1038.11,1039.93,1030.4,0.0,-0.0055,-0.5530344634891327,Down,1036.95,8
1996-08-13,1024.43,1031.05,1031.05,1021.67,0.0,-0.0075,-0.7498764738366748,Down,1035.7342857142855,8
1996-08-14,1018.48,1021.18,1027.95,1017.43,0.0,-0.0058,-0.5808107923430672,Down,1033.7614285714287,8
1996-08-16,1002.25,1018.28,1019.64,1001.35,0.0,-0.0159,-1.5935511742989572,Down,1029.01,8
1996-08-19,975.66,1001.19,1001.19,972.96,0.0,-0.0265,-2.6530306809678272,Down,1018.5914285714287,8
1996-08-20,977.34,973.13,980.78,968.76,0.0,0.0017,0.17219113215669601,Up,1009.7485714285715,8
1996-08-21,999.19,980.23,1001.84,980.23,0.0,0.0224,2.2356600568891105,Up,1004.2171428571428,8
1996-08-22,1002.17,1001.45,1010.4,999.85,0.0,0.003,0.2982415756762835,Up,999.9314285714287,8
1996-08-23,1012.71,1001.38,1014.78,1000.49,0.0,0.0105,1.0517177724338245,Up,998.2571428571429,8
1996-08-26,1009.04,1011.12,1016.63,1007.25,0.0,-0.0036,-0.36239397260815487,Down,996.9085714285713,8
1996-08-27,1014.68,1009.9,1016.59,1006.02,0.0,0.0056,0.5589471180527994,Up,998.6842857142857,8
1996-08-28,1027.09,1015.01,1029.49,1015.01,0.0,0.0122,1.2230456892813546,Up,1006.0314285714285,8
1996-08-29,1025.86,1028.7,1035.59,1024.67,0.0,-0.0012,-0.11975581497239984,Down,1012.9628571428572,8
1996-08-30,1029.0,1025.91,1029.89,1023.44,0.0,0.0031,0.30608465092702986,Up,1017.2214285714286,8
1996-09-02,1036.95,1028.91,1039.98,1028.91,0.0,0.0077,0.7725947521865839,Up,1022.1899999999999,9
1996-09-03,1023.27,1039.84,1046.51,1017.46,0.0,-0.0132,-1.3192535802111993,Down,1023.6985714285713,9
1996-09-04,1026.41,1022.37,1028.26,1012.15,0.0,0.0031,0.3068593821767607,Up,1026.18,9
1996-09-05,1037.47,1028.06,1038.31,1028.06,0.0,0.0108,1.077542112800911,Up,1029.435714285714,9
1996-09-06,1032.09,1038.04,1038.79,1029.96,0.0,-0.0052,-0.5185692116398632,Down,1030.1499999999999,9
1996-09-09,1013.88,1030.42,1031.22,1012.34,0.0,-0.0176,-1.7643810132837223,Down,1028.4385714285713,9
1996-09-10,1001.15,1014.87,1014.87,996.75,0.0,-0.0126,-1.2555726515958487,Down,1024.4599999999998,9
1996-09-11,991.34,1001.86,1008.79,989.71,0.0,-0.0098,-0.9798731458822263,Down,1017.9442857142857,9
1996-09-12,989.28,990.88,992.68,981.01,0.0,-0.0021,-0.20779954405149015,Down,1013.0885714285715,9
1996-09-13,980.72,991.65,991.86,979.8,0.0,-0.0087,-0.8652757561054436,Down,1006.5614285714285,9
1996-09-16,962.27,980.69,980.69,959.65,0.0,-0.0188,-1.881270903010035,Down,995.8185714285713,9
1996-09-17,971.21,965.02,975.19,962.93,0.0,0.0093,0.9290531763434418,Up,987.1214285714286,9
1996-09-18,994.43,972.73,996.97,969.67,0.0,0.0239,2.390832054859393,Up,984.342857142857,9
1996-09-19,977.76,996.41,1001.25,975.85,0.0,-0.0168,-1.6763371981939335,Down,981.0014285714286,9
1996-09-20,977.03,979.14,984.45,973.09,0.0,-0.0007,-0.07466044837178831,Down,978.9571428571429,9
1996-09-23,968.84,976.08,976.08,963.19,0.0,-0.0084,-0.8382547107048888,Down,976.0371428571427,9
1996-09-24,968.91,968.78,972.74,965.69,0.0,0.0001,0.007225135213229095,Up,974.3500000000001,9
1996-09-25,971.29,967.98,981.75,967.98,0.0,0.0025,0.2456368496557948,Up,975.6385714285714,9
1996-09-26,959.31,970.76,970.89,955.6,0.0,-0.0123,-1.233411236602866,Down,973.9385714285714,9
1996-09-27,947.23,958.79,958.83,942.05,0.0,-0.0126,-1.259238410941188,Down,967.1957142857142,9
1996-09-30,943.96,945.68,948.41,932.27,0.0,-0.0035,-0.3452171067217069,Down,962.3671428571428,9
1996-10-01,936.27,944.51,945.66,933.56,0.0,-0.0081,-0.8146531632696408,Down,956.5442857142856,10
1996-10-03,924.92,937.16,943.38,921.18,0.0,-0.0121,-1.212257148044904,Down,950.2700000000001,10
1996-10-04,904.12,924.93,925.93,898.47,0.0,-0.0225,-2.2488431431907596,Down,941.0142857142856,10
1996-10-07,874.0,905.76,905.76,859.65,0.0,-0.0333,-3.331416183692426,Down,927.1157142857143,10
1996-10-08,873.9,872.57,876.78,850.52,0.0,-0.0001,-0.011441647597254523,Down,914.9142857142857,10
1996-10-09,874.72,873.18,875.85,859.35,0.0,0.0009,0.09383224625243436,Up,904.5557142857143,10
1996-10-10,898.42,874.2,900.53,872.83,0.0,0.0271,2.7094384488750567,Up,898.0500000000001,10
1996-10-11,908.79,900.11,915.59,897.6,0.0,0.0115,1.1542485697112692,Up,894.1242857142857,10
1996-10-14,892.05,907.26,907.26,890.71,0.0,-0.0184,-1.8420097052124218,Down,889.4285714285714,10
1996-10-15,897.77,892.07,902.74,885.23,0.0,0.0064,0.6412196625749766,Up,888.5214285714285,10
1996-10-16,892.77,896.63,905.11,891.16,0.0,-0.0056,-0.55693551800573,Down,891.2028571428572,10
1996-10-17,892.07,891.42,893.33,880.76,0.0,-0.0008,-0.07840765258688709,Down,893.7985714285714,10
1996-10-18,895.0,892.61,899.51,888.61,0.0,0.0033,0.32844956113309287,Up,896.6957142857143,10
1996-10-22,919.09,896.87,924.83,896.87,0.0,0.0269,2.6916201117318517,Up,899.6485714285715,10
1996-10-23,951.29,924.2,953.44,924.2,0.0,0.035,3.5034653842387575,Up,905.72,10
